code,product_url,specific_search_intent,family_topic,title,description
MTT-R0101,https://mttpackaging.com/products/signature-perfume-lift-off,custom perfume bottle Lift-off lid,Rigid gift boxes,Custom Perfume Lift-Off Lid Box | Gloss & Silver Foil,"Custom perfume lid-and-base packaging with a separate cap, fitted bottle cavity and gloss finish. Compare opening, insert fit and sample requirements."
MTT-R0102,https://mttpackaging.com/products/travel-fragrance-trio-drawer,custom travel perfume set Drawer box,Rigid gift boxes,Custom Travel Perfume Set Drawer Box | MTT Packaging,"Custom travel perfume set packaging in a drawer box, with three narrow parallel bottle cavities. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0103,https://mttpackaging.com/products/skincare-ritual-book,custom skincare set Magnetic book box,Rigid gift boxes,Custom Magnetic Skincare Gift Box | Textured Wrap,"Plan a magnetic skincare gift box with one jar and two bottle positions. Review linen-textured wrap, debossing, removal access and closure clearance."
MTT-R0104,https://mttpackaging.com/products/perfume-discovery-library-double-door,custom perfume discovery set Double-door box,Rigid gift boxes,Custom Perfume Discovery Set Double-Door Box | MTT Packaging,"Custom perfume discovery set packaging in a double-door box, with six narrow vial channels. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0105,https://mttpackaging.com/products/face-cream-presentation-shoulder,custom face cream jar Shoulder-neck box,Rigid gift boxes,Custom Face Cream Jar Shoulder-Neck Box | MTT Packaging,"Custom face cream jar packaging in a shoulder-neck box, with one centred circular jar recess. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0106,https://mttpackaging.com/products/makeup-artist-collection-stacked-drawers,custom makeup collection Two-drawer box,Rigid gift boxes,Custom Makeup Collection Two-Drawer Box | MTT Packaging,"Custom makeup collection packaging in a two-drawer box, with four rectangular cosmetic compartments. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0107,https://mttpackaging.com/products/botanical-scent-duo-hexagonal,custom botanical perfume duo Hexagonal lift-off box,Rigid gift boxes,Custom Botanical Perfume Duo Hexagonal Lift-Off Box | MTT Packaging,"Custom botanical perfume duo packaging in a hexagonal lift-off box, with two equally sized bottle recesses. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0108,https://mttpackaging.com/products/beauty-ampoule-collection-stacked-drawers,custom beauty ampoule set Two-drawer box,Rigid gift boxes,Custom Beauty Ampoule Set Two-Drawer Box | MTT Packaging,"Custom beauty ampoule set packaging in a two-drawer box, with eight slim parallel channels. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0109,https://mttpackaging.com/products/solid-perfume-keepsake-round,custom solid perfume Round lift-off box,Rigid gift boxes,Custom Solid Perfume Round Lift-Off Box | MTT Packaging,"Custom solid perfume packaging in a round lift-off box, with one shallow round compact well. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0110,https://mttpackaging.com/products/evening-beauty-routine-tiered,custom beauty routine set Two-tier lift-off box,Rigid gift boxes,Custom Beauty Routine Set Two-Tier Lift-Off Box | MTT Packaging,"Custom beauty routine set packaging in a two-tier lift-off box, with two removable compartment trays. Tailor size, wrapping paper and finishes with MTT. Request a quote."
